	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51	V52	V53	V54	V55	V56	V57	V58	V59	V60	V61	V62	V63	V64	V65	V66	V67	V68	V69	V70	V71	V72	V73	V74	V75	V76	V77	V78	V79	V80	V81	V82	V83	V84	V85	V86	V87	V88	V89	V90	V91	V92	V93	V94	V95	V96	V97	V98	V99	V100	V101	V102	V103	V104	V105
73	2661	229	129	198	270	273	143	70	191	81	125	16	57	13	41	29	65	54	78	3	22	84	22	48	70	10	47	28	124	47	102	25	52	74	0	3	0	15	0	7	3	18	0	7	44	2	124	43	0	57	21	29	1	28	105	10	17	28	0	28	51	15	8	0	24	0	9	26	20	18	13	51	0	44	52	26	5	4	2	4	39	8	62	0	31	18	13	5	2	6	12	25	5	24	0	0	3	10	15	49	1	5	30	33	8
74	2639	261	165	221	267	227	30	45	61	67	126	42	159	11	129	42	5	53	80	94	0	6	30	37	5	13	13	21	0	29	33	41	21	43	0	13	43	72	0	1	95	175	2	12	30	14	86	28	67	31	8	0	2	0	7	1	22	21	45	19	13	28	0	43	27	33	13	4	51	55	92	5	15	0	19	35	61	17	29	4	18	27	12	43	9	0	68	10	59	49	38	30	12	19	8	11	1	20	1	53	0	0	1	3	1
75	2661	430	165	67	42	349	135	192	5	70	63	9	29	88	240	44	3	7	54	44	11	18	30	41	38	55	13	28	22	49	29	0	19	1	61	48	86	47	0	33	51	34	40	70	24	37	22	32	0	55	6	66	11	179	3	0	2	33	0	24	6	31	81	9	30	21	6	46	56	28	3	23	8	25	3	57	25	19	0	40	12	19	6	2	5	54	0	1	11	2	1	14	4	17	8	7	24	5	2	9	0	23	0	2	87
76	2445	484	200	211	108	254	108	8	159	99	35	66	41	13	5	56	31	109	10	63	68	82	88	9	47	3	47	122	110	23	189	24	30	55	23	28	10	54	7	37	4	44	0	0	10	11	13	8	1	29	36	65	15	43	76	44	2	27	32	45	6	80	2	0	63	0	12	3	26	1	4	25	13	4	22	30	0	54	2	7	45	0	13	28	49	53	0	33	59	15	10	23	0	24	1	0	6	1	15	3	5	0	23	9	12
77	2682	405	281	8	317	55	112	172	1	100	32	30	76	11	38	9	47	57	29	25	43	36	43	53	96	12	40	36	49	8	0	52	22	71	75	15	10	33	1	109	17	40	4	50	0	104	44	0	28	0	46	16	3	0	19	19	67	19	48	37	2	22	10	39	24	22	1	17	10	61	1	2	20	3	5	16	32	50	15	0	11	53	5	55	50	9	19	26	158	18	2	0	46	11	15	3	51	6	19	6	1	5	24	1	49
78	2641	568	333	11	69	34	62	0	247	60	100	5	148	0	77	26	149	45	39	69	24	12	17	44	19	93	12	0	13	51	6	38	0	38	25	13	29	11	1	45	0	14	48	4	31	48	25	27	3	186	40	64	74	4	7	5	1	10	68	37	38	60	50	49	9	2	16	2	0	5	13	98	26	0	18	16	3	19	6	21	33	60	9	33	19	1	73	26	0	32	0	25	0	26	11	44	27	0	6	16	7	23	50	0	5
79	2567	517	200	219	144	34	41	183	18	11	102	175	25	176	8	33	10	2	46	45	66	80	5	48	49	96	30	40	5	192	37	14	54	23	47	18	0	30	68	2	31	40	3	7	12	9	33	81	61	0	18	50	61	20	10	42	33	17	46	15	9	33	0	6	17	26	97	0	0	24	5	0	18	32	1	40	27	0	25	3	3	98	3	6	27	8	53	33	18	2	8	0	1	23	9	6	37	0	0	24	4	28	14	6	24
80	2649	383	351	119	2	58	126	34	6	139	42	16	51	0	49	0	1	62	141	76	60	145	138	36	132	74	25	78	20	15	30	131	1	43	0	40	25	40	1	7	37	19	5	0	34	18	21	10	68	15	16	8	73	23	2	2	32	0	37	21	63	7	14	2	164	40	58	3	27	41	2	0	8	48	28	11	4	11	37	27	5	2	3	18	11	5	17	28	26	17	0	60	31	24	22	18	1	39	49	44	4	5	19	1	16
81	2771	270	173	321	293	1	66	53	4	0	52	102	59	0	118	64	38	100	29	48	51	89	49	18	21	111	30	6	55	20	10	0	128	30	12	0	26	46	32	195	46	13	33	37	6	22	35	0	16	1	25	3	7	41	44	2	1	3	13	5	21	26	7	28	0	1	2	57	28	29	9	7	25	3	1	75	0	11	94	3	35	25	19	61	5	8	15	24	13	5	4	4	25	0	94	3	24	37	32	31	30	19	40	16	7
82	2643	328	348	139	280	30	92	39	50	14	36	99	35	128	197	35	135	44	14	1	0	59	19	0	13	21	51	85	30	125	0	9	18	0	4	36	2	41	18	5	22	67	5	12	5	33	73	38	3	30	0	0	5	30	3	8	51	12	63	1	12	0	17	45	19	17	8	18	13	119	69	0	8	5	6	14	26	4	41	0	49	95	10	0	7	34	103	24	51	37	19	4	30	19	6	2	47	23	25	26	16	14	40	40	1
83	2781	37	215	305	5	307	156	75	32	70	0	124	87	35	50	27	46	8	1	0	23	13	101	0	44	0	88	15	13	38	62	73	39	43	50	61	177	36	23	14	35	38	12	94	46	111	66	1	0	8	47	23	37	17	25	0	51	22	80	2	17	0	62	16	45	50	2	29	40	9	1	99	43	18	26	4	14	2	8	10	1	14	26	1	88	4	51	0	3	11	16	25	23	13	5	3	1	0	23	9	4	3	30	5	4
84	2672	221	95	282	179	33	256	179	20	98	190	9	48	7	0	15	69	40	88	68	6	129	52	38	49	42	72	26	45	52	39	0	31	0	117	26	15	8	18	59	23	1	0	8	27	37	0	21	8	98	30	26	38	41	12	0	77	0	4	1	28	14	5	0	10	13	22	100	21	174	1	67	24	0	11	24	30	42	3	5	4	38	72	9	48	11	8	0	24	6	0	3	24	11	2	6	9	48	37	5	0	1	6	13	23
85	2818	254	142	259	108	6	279	24	40	53	125	170	94	0	8	10	236	49	42	59	55	14	19	0	1	3	29	16	42	18	48	54	29	24	0	53	26	4	10	33	5	11	140	0	67	71	10	52	38	10	86	10	30	8	8	28	0	1	60	47	24	2	53	12	48	12	0	12	26	1	0	27	4	40	7	0	16	13	31	18	42	0	28	29	5	25	57	14	19	18	19	1	3	0	7	90	47	37	6	12	13	49	0	14	30
86	2594	428	120	27	334	162	96	109	51	50	239	17	63	77	91	24	56	0	38	55	64	35	0	24	76	5	20	50	4	58	10	10	74	35	106	42	66	56	9	17	23	3	38	28	2	44	9	1	73	18	137	24	7	13	0	19	0	1	26	0	60	21	3	0	17	8	0	12	5	13	1	7	0	67	6	0	20	5	53	100	32	4	7	0	11	24	14	6	50	43	33	3	12	30	15	39	26	26	59	19	72	15	8	24	19
87	2603	303	384	89	119	91	80	236	48	200	94	48	148	93	34	5	13	46	76	2	6	23	24	116	58	20	0	45	48	16	5	47	53	36	37	27	4	3	7	47	0	1	20	71	59	13	74	37	34	30	36	43	0	3	0	43	17	15	18	30	0	10	8	2	42	44	66	67	48	0	24	22	0	6	2	6	1	120	10	52	4	50	95	7	3	12	31	0	8	13	1	9	22	1	25	5	37	0	59	0	7	4	5	37	4
88	2682	440	57	169	66	26	266	139	38	131	59	127	173	53	71	0	14	59	0	185	33	0	52	48	25	34	9	0	49	10	44	33	189	4	57	58	32	36	2	3	58	43	18	3	19	1	32	4	12	64	7	9	14	18	26	40	20	28	15	30	6	9	6	3	12	0	25	95	62	39	13	49	18	0	0	0	38	3	48	3	22	58	1	1	60	0	10	4	3	41	2	0	9	12	72	47	32	13	19	14	5	5	0	49	5
89	2489	237	369	283	171	104	106	185	12	115	76	56	169	47	15	31	6	41	91	18	6	6	40	88	63	1	56	34	2	76	79	39	53	51	46	28	42	8	37	66	28	20	0	32	22	2	18	178	38	14	0	34	0	5	1	0	40	44	0	25	20	16	12	1	11	16	7	29	10	20	51	0	0	12	27	1	29	25	21	9	13	0	78	42	20	6	46	0	9	60	19	5	3	55	18	88	3	44	19	0	1	49	0	5	4
90	2626	211	138	355	203	44	262	120	76	2	216	52	60	102	63	16	135	71	43	27	25	74	27	27	53	9	73	44	34	4	46	5	32	108	21	25	43	11	14	59	30	22	14	56	30	8	0	2	0	8	56	8	1	5	23	20	54	0	66	40	7	25	31	50	27	7	40	34	6	8	0	32	0	0	100	13	17	0	17	6	11	0	90	0	72	19	0	4	42	3	6	8	0	32	24	15	2	4	5	24	2	2	59	1	3
91	2525	453	431	253	2	228	71	117	72	251	48	36	15	26	45	25	114	58	57	14	41	14	52	29	10	87	72	108	22	30	0	7	51	37	7	30	25	57	36	43	5	7	31	1	2	12	44	1	35	9	12	0	27	0	0	30	26	11	7	28	43	0	9	2	2	4	95	10	20	8	51	30	26	0	14	0	37	0	18	32	93	0	5	4	4	95	27	46	20	4	63	22	1	15	10	24	9	24	4	5	28	38	0	4	14
92	2568	403	56	37	403	71	249	108	6	57	26	123	166	52	76	16	66	35	13	74	9	40	140	57	20	10	43	38	18	42	34	21	14	2	1	37	33	96	8	36	101	28	36	22	39	38	150	11	42	36	100	6	15	11	0	22	24	14	0	8	8	0	2	13	11	61	1	0	43	28	3	0	1	20	64	0	48	0	24	59	31	73	12	46	3	37	37	2	6	25	24	7	15	4	5	0	2	0	50	4	24	38	4	1	4
93	2658	325	251	324	25	146	65	67	32	113	79	121	56	42	22	56	26	88	2	11	65	49	130	132	5	40	36	35	87	63	41	0	55	5	14	0	47	68	18	2	43	27	25	37	20	13	0	0	71	12	100	27	3	0	31	4	25	11	0	30	8	14	12	16	42	41	9	25	55	3	4	33	37	30	60	48	22	24	17	1	47	0	5	112	12	38	0	6	25	31	24	0	94	0	5	9	0	5	1	1	7	30	6	3	5
94	2660	186	346	231	135	121	192	53	169	75	11	54	227	27	123	69	36	70	37	16	5	12	24	129	65	115	0	34	34	1	12	63	37	2	65	0	13	58	61	38	2	12	37	21	24	30	7	0	25	44	0	55	6	3	40	3	13	0	26	41	20	20	11	6	79	93	16	52	4	33	43	11	32	20	0	7	63	13	0	33	41	2	2	10	1	9	28	4	10	0	17	11	1	4	8	24	45	5	19	5	0	12	5	33	0
95	2832	51	393	301	93	183	187	114	92	45	13	20	30	57	78	86	37	15	124	80	55	44	50	34	120	0	5	4	38	19	44	117	20	33	2	0	8	1	35	2	0	0	3	30	142	29	30	44	6	32	28	38	0	13	54	19	11	0	7	19	41	1	22	27	0	11	25	97	10	12	18	57	30	6	6	2	14	0	51	4	73	29	10	11	34	5	12	40	4	32	6	26	26	4	0	19	0	19	0	6	7	31	8	14	30
96	2567	395	200	213	220	100	286	226	52	16	6	131	8	0	226	0	46	25	59	44	58	182	22	28	85	22	5	19	54	52	70	37	41	101	24	23	33	19	24	0	47	3	35	23	19	15	70	15	53	23	11	20	4	7	44	16	4	1	0	3	19	61	45	1	11	12	7	8	29	0	14	54	3	20	0	3	32	0	24	5	0	0	42	52	8	2	20	15	4	24	26	3	7	5	6	17	2	7	0	0	0	46	44	23	14
97	2707	350	321	183	170	94	52	157	97	151	162	90	21	104	14	0	29	9	7	79	73	33	27	23	54	0	48	14	21	36	40	44	28	13	25	2	17	0	131	33	0	29	110	0	23	46	34	26	17	29	59	13	1	26	7	42	13	43	2	0	38	17	94	9	61	3	20	20	11	5	25	16	8	10	62	27	42	27	5	1	0	28	8	9	2	1	27	0	23	1	22	57	6	0	59	2	3	4	1	4	5	0	50	37	18
98	2635	351	141	109	186	199	6	9	117	150	35	54	200	49	116	88	23	0	54	122	13	72	79	12	20	27	57	8	5	12	32	7	47	14	159	46	78	30	32	30	21	28	6	49	0	17	38	44	8	66	47	26	1	18	35	39	62	0	62	7	9	6	0	2	24	46	11	2	2	0	14	2	0	22	27	6	4	26	24	13	20	0	0	2	2	6	159	15	0	4	34	50	12	46	22	24	26	25	9	16	38	1	11	87	0
99	2525	522	74	211	0	165	240	92	149	38	142	50	6	98	1	16	31	49	33	11	78	85	1	34	154	37	7	22	31	104	41	173	104	0	0	0	52	3	100	61	2	9	23	27	0	0	38	49	29	45	40	35	1	44	27	6	12	27	70	29	0	30	0	26	11	42	9	0	54	15	4	1	9	49	9	5	34	14	0	9	16	2	3	51	29	3	29	2	24	31	4	18	13	10	47	24	14	5	37	49	15	5	3	2	37
100	2579	317	198	68	294	187	297	215	53	194	167	105	150	51	2	48	37	63	24	30	35	22	65	14	48	87	0	52	5	16	71	24	37	31	14	8	15	32	13	28	0	25	31	9	12	1	34	6	103	55	6	1	22	63	8	19	29	62	59	4	14	2	0	5	0	3	0	21	26	2	17	2	39	5	1	20	0	38	24	23	5	12	27	11	6	4	73	0	12	0	16	8	0	45	6	24	18	26	23	0	1	3	0	40	0
