	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51	V52	V53	V54	V55	V56	V57	V58	V59	V60	V61	V62	V63	V64	V65	V66	V67	V68	V69	V70	V71	V72	V73	V74	V75	V76	V77	V78	V79	V80	V81	V82	V83	V84	V85	V86	V87	V88	V89	V90	V91	V92	V93	V94	V95	V96	V97	V98	V99	V100	V101	V102	V103	V104	V105
27	2577	350	223	247	301	148	46	35	6	32	0	69	15	1	54	57	44	67	36	0	70	150	0	2	5	90	52	79	29	48	30	37	38	15	45	56	47	33	100	16	78	46	5	11	112	9	7	36	37	33	0	16	28	52	0	60	1	0	20	18	61	6	28	61	29	18	8	62	6	0	0	3	15	15	5	2	22	4	10	56	39	174	0	6	47	1	31	6	1	76	4	24	26	51	8	9	30	1	10	26	15	12	5	15	0
28	2482	366	464	137	224	181	153	52	34	180	107	8	14	85	66	52	53	24	0	32	32	107	123	5	35	19	19	0	42	7	135	1	12	12	71	45	135	0	109	0	44	54	66	59	40	8	17	70	27	6	19	12	5	32	69	4	2	21	30	42	9	25	5	6	19	44	1	0	4	16	27	6	6	43	3	19	5	0	0	0	11	16	0	8	10	0	50	59	4	2	4	28	24	0	22	24	16	33	15	5	7	16	4	1	0
29	2660	205	320	69	283	87	19	37	252	181	73	66	49	20	154	0	27	0	45	120	47	107	47	44	47	15	27	18	0	23	56	36	27	0	28	61	77	36	30	1	28	188	21	6	0	0	10	38	20	20	103	22	7	81	30	1	34	5	42	8	32	11	26	2	24	0	16	35	12	0	32	10	4	4	3	0	16	19	24	38	17	5	2	62	3	54	4	52	0	37	5	6	9	2	57	4	24	41	1	1	9	13	24	12	37
30	2682	252	392	159	214	126	114	130	124	63	61	52	35	83	40	17	88	7	2	58	115	46	14	90	16	43	11	8	30	2	11	25	61	15	52	28	9	0	23	24	8	0	120	7	3	0	0	53	25	90	22	0	25	22	68	8	64	9	136	27	2	4	17	22	21	1	20	77	0	6	21	63	8	55	8	14	2	42	11	4	7	29	20	17	0	95	18	9	4	31	0	59	1	2	1	0	24	3	27	30	37	3	0	23	0
31	2745	320	308	272	48	84	135	60	19	35	52	173	5	59	65	59	41	23	204	44	123	80	22	132	47	45	1	98	18	13	19	95	20	29	16	26	32	22	39	62	29	3	35	28	1	34	50	43	54	57	27	11	14	10	57	0	26	1	9	34	29	7	0	9	0	0	11	0	15	28	15	13	9	18	23	5	2	24	4	37	32	0	6	1	27	9	1	0	8	0	8	0	0	2	37	7	52	49	5	1	61	18	45	15	1
32	2662	407	147	48	277	220	4	50	92	144	61	53	127	39	13	156	111	50	30	87	34	56	73	125	14	38	12	57	4	0	23	56	37	58	1	47	55	23	53	11	27	10	72	12	25	12	37	106	14	108	0	1	0	42	6	21	12	23	3	4	26	1	22	0	0	45	4	8	3	37	20	0	0	3	4	9	6	2	2	19	52	13	60	38	12	49	5	2	34	72	16	3	8	0	46	32	4	0	13	0	5	25	7	5	45
33	2631	272	207	406	334	155	63	167	37	121	99	49	67	57	45	12	33	94	33	16	40	17	51	8	13	18	107	47	20	0	89	55	44	0	1	19	29	2	33	0	4	15	5	73	10	24	41	44	2	27	29	27	4	0	20	12	20	0	13	33	14	8	0	31	24	58	22	7	13	42	26	39	48	0	4	25	12	0	19	42	34	63	24	13	2	10	98	5	2	53	50	43	0	0	72	5	1	0	2	4	24	0	8	1	5
34	2434	600	308	226	114	119	212	41	120	46	124	99	29	56	36	71	145	72	52	28	1	95	9	19	33	0	6	39	35	3	52	2	6	7	13	12	56	107	27	39	67	21	44	0	19	25	30	30	32	10	4	99	0	1	28	10	30	0	23	18	20	20	25	9	2	3	1	43	13	7	33	0	18	5	19	3	0	68	55	5	3	3	109	0	95	1	4	8	37	2	19	0	44	11	14	0	16	27	24	0	18	4	24	1	50
35	2655	328	235	176	58	266	47	43	61	44	161	228	52	51	84	65	48	156	144	40	64	49	55	48	72	41	55	43	0	45	1	65	79	32	108	106	30	0	21	24	0	18	9	28	0	63	0	1	24	31	29	12	25	32	4	8	4	12	11	12	26	2	0	54	18	0	11	4	31	0	2	0	3	15	4	51	14	0	3	12	4	9	3	50	37	0	9	14	37	5	41	19	24	49	1	7	5	33	11	4	20	1	2	5	4
36	2682	421	236	207	108	41	203	105	118	37	125	14	29	37	39	47	37	55	47	0	23	45	42	0	6	5	57	71	46	159	96	21	8	17	73	30	71	18	15	47	3	11	30	14	44	0	1	188	61	64	0	28	6	64	37	3	0	19	36	2	11	31	49	8	10	26	5	1	10	2	5	92	7	18	25	57	18	17	3	2	14	0	31	2	41	2	19	0	0	4	0	3	6	25	0	0	33	31	6	16	72	21	8	8	59
